3109402,BURITIZEIRO,27988,"0,624","10929,18"
3109451,CABECEIRA GRANDE,6909,"0,648","29621,95"
3109501,CABO VERDE,14075,"0,674","14767,27"
3109600,CACHOEIRA DA PRATA,3616,"0,741","9797,33"
3109709,CACHOEIRA DE MINAS,11514,"0,706","19746,55"
3109808,CACHOEIRA DOURADA,2677,"0,726","25108,78"
3109907,CAETANOPOLIS,11495,"0,706","17768,91"
3110004,CAETE,44377,"0,728","13025,78"
3110103,CAIANA,5450,"0,633","9888,56"
3110202,CAJURI,4002,"0,617","12775,41"
3110301,CALDAS,14417,"0,687","14134,35"
3110400,CAMACHO,2934,"0,69","12364,54"
3110509,CAMANDUCAIA,21738,"0,689","21652,54"
3110608,CAMBUI,29278,"0,751","30228,77"
3110707,CAMBUQUIRA,12816,"0,699","17274,57"
3110806,CAMPANARIO,3711,"0,616","10031,03"
3110905,CAMPANHA,16565,"0,709","18363,49"
3111002,CAMPESTRE,21056,"0,698","14398,26"
3111101,CAMPINA VERDE,19738,"0,704","25497,01"
3111150,CAMPO AZUL,3810,"0,621","7999,18"
3111200,CAMPO BELO,53866,"0,711","15842,72"
3111309,CAMPO DO MEIO,11658,"0,683","11422,4"
3111408,CAMPO FLORIDO,8029,"0,706","44789,89"
3111507,CAMPOS ALTOS,15356,"0,702","17845,56"
3111606,CAMPOS GERAIS,28703,"0,682","12008,58"
3111705,CANAA,4579,"0,649","10270,13"
3111804,CANAPOLIS,12025,"0,722","21328,51"
3111903,CANA VERDE,5612,"0,65","10708,76"
3112000,CANDEIAS,14883,"0,678","15132,8"
3112059,CANTAGALO,4498,"0,631","9701,05"
3112109,CAPARAO,5424,"0,624","12348,3"
3112208,CAPELA NOVA,4673,"0,648","8859,2"
3112307,CAPELINHA,37856,"0,653","13527,44"
3112406,CAPETINGA,6952,"0,675","13202,28"
3112505,CAPIM BRANCO,9679,"0,695","8045,35"
3112604,CAPINOPOLIS,16109,"0,723","18718,27"
3112653,CAPITAO ANDRADE,5420,"0,624","8211,13"
3112703,CAPITAO ENEAS,15153,"0,639","14314,16"
3112802,CAPITOLIO,8601,"0,71","21822,84"
3112901,CAPUTIRA,9287,"0,615","8562,12"
3113008,CARAI,23586,"0,558","5916,92"
3113107,CARANAIBA,3200,"0,634","8472,69"
3113206,CARANDAI,25327,"0,697","20342,6"
3113305,CARANGOLA,32988,"0,695","14244,47"
3113404,CARATINGA,91503,"0,706","15399,58"
3113503,CARBONITA,9396,"0,638","16917,87"
3113602,CAREACU,6721,"0,683","18903,45"
3113701,CARLOS CHAGAS,19007,"0,648","16443,73"
3113800,CARMESIA,2617,"0,65","9774,48"
3113909,CARMO DA CACHOEIRA,12158,"0,655","16610,36"
